Ocean,Country,Depth_M,Percent_Bleaching,Temperature_Mean,Temperature_MIN,Temperature_MAX,Year_Month
Indian,Kenya,,51.38,26.82000000000005,22.24000000000001,31.150000000000034,1998-05
Indian,Kenya,,54.3,26.82000000000005,22.24000000000001,31.150000000000034,1998-06
Indian,Mauritius,3.5,55.0,25.25,21.08000000000004,30.33000000000004,2005-03
Indian,India,,56.45,28.53000000000003,25.140000000000043,33.34000000000003,2010-05
Indian,Kenya,,57.8,26.82000000000005,22.24000000000001,31.150000000000034,1998-05
Indian,Kenya,,57.87,26.82000000000005,22.24000000000001,31.150000000000034,1998-05
Indian,Kenya,1.38,58.0,27.03000000000003,22.410000000000025,32.89000000000004,2010-04
Indian,Indonesia,,60.0,28.900000000000034,24.980000000000018,32.43000000000001,2010-04
Indian,Mauritius,3.0,60.0,25.24000000000001,21.120000000000005,30.33000000000004,2005-03
Indian,Thailand,,60.0,29.510000000000048,25.640000000000043,33.450000000000045,2010-05
Indian,India,,64.0,28.439999999999998,24.54000000000002,31.730000000000018,2010-05
Indian,Kenya,,64.15,26.660000000000025,22.410000000000025,35.04000000000002,1998-04
Indian,Madagascar,,65.0,26.260000000000048,22.140000000000043,32.370000000000005,2005-03
Indian,India,,66.0,28.439999999999998,24.54000000000002,31.730000000000018,2010-05
Indian,Kenya,3.15,66.0,27.08000000000004,22.57000000000005,33.450000000000045,2010-04
Indian,Kenya,,66.95,26.660000000000025,22.410000000000025,35.04000000000002,1998-04
Indian,India,,67.0,28.439999999999998,24.54000000000002,31.730000000000018,2010-05
Indian,India,,67.28,28.49000000000001,25.650000000000034,33.14000000000004,2010-05
Indian,India,,69.0,28.439999999999998,24.54000000000002,31.730000000000018,2010-05
Indian,India,,69.49,28.590000000000032,24.99000000000001,33.950000000000045,2010-05
Indian,Kenya,11.0,70.0,26.840000000000032,22.55000000000001,30.980000000000018,1998-03
Indian,Seychelles,23.0,70.0,26.670000000000016,21.80000000000001,32.84000000000003,1998-05
Indian,Thailand,,70.0,29.260000000000048,25.77000000000004,32.950000000000045,2010-05
Indian,Kenya,1.6,73.0,27.27000000000004,22.660000000000025,36.120000000000005,2010-04
Indian,India,,75.0,28.439999999999998,24.54000000000002,31.730000000000018,2010-05
Indian,Mauritius,,75.0,25.140000000000043,20.920000000000016,30.350000000000023,2002-02
Indian,Mauritius,,75.0,25.310000000000002,21.07000000000005,30.100000000000023,2002-02
Indian,India,,79.0,28.439999999999998,24.54000000000002,31.730000000000018,2010-05
Indian,United Kingdom,3.5,80.0,27.99000000000001,24.110000000000014,31.610000000000014,2005-04
Indian,Indonesia,,80.0,29.129999999999995,25.360000000000014,33.210000000000036,2010-06
Indian,India,,81.8,28.510000000000048,24.83000000000004,32.110000000000014,1998-06
Indian,India,,82.0,28.439999999999998,24.54000000000002,31.730000000000018,2010-05
Indian,India,,85.0,28.439999999999998,24.54000000000002,31.730000000000018,2010-05
Indian,India,,85.0,28.55000000000001,24.710000000000036,33.55000000000001,1998-05
Indian,Thailand,,85.0,29.78000000000003,25.840000000000032,33.450000000000045,2010-05
Indian,Thailand,,85.0,29.629999999999995,25.670000000000016,32.99000000000001,2010-05
Indian,Tanzania,,88.0,27.129999999999995,22.760000000000048,32.55000000000001,1998-04
Indian,India,,89.26,28.650000000000034,24.939999999999998,33.200000000000045,1998-07
Indian,Mauritius,1.25,90.0,25.25,21.08000000000004,30.33000000000004,2002-02
Indian,Mauritius,2.5,90.0,25.27000000000004,21.02000000000004,30.400000000000034,2002-02
Indian,Thailand,,90.0,29.670000000000016,25.08000000000004,34.55000000000001,2010-05
Indian,Thailand,,90.0,29.700000000000045,25.74000000000001,33.420000000000016,2010-05
Indian,Thailand,,95.0,29.410000000000025,24.83000000000004,32.960000000000036,2010-04
Indian,Thailand,,97.0,29.100000000000023,24.910000000000025,33.55000000000001,2010-05
Indian,Australia,,75.0,28.74000000000001,24.900000000000034,33.860000000000014,1998-05
Indian,Australia,,75.0,28.710000000000036,24.55000000000001,33.360000000000014,1998-05
Indian,United Kingdom,,75.0,27.82000000000005,23.33000000000004,31.920000000000016,2003-03
Indian,United Kingdom,3.5,75.0,27.99000000000001,24.110000000000014,31.610000000000014,2006-04
Indian,United Kingdom,,75.0,28.05000000000001,24.430000000000007,32.610000000000014,1998-04
Indian,Australia,,75.0,27.129999999999995,23.77000000000004,31.53000000000003,1998-11
Indian,Comoro Islands,,75.0,27.57000000000005,23.33000000000004,33.01000000000005,1998-05
Indian,Comoro Islands,,75.0,27.55000000000001,23.49000000000001,32.200000000000045,1998-05
Indian,India,,75.0,28.870000000000005,24.370000000000005,34.58000000000004,1998-06
Indian,India,,75.0,28.480000000000018,25.170000000000016,32.210000000000036,1998-05
Indian,India,,75.0,28.390000000000043,24.390000000000043,32.18000000000001,1998-05
Indian,India,,75.0,28.480000000000018,24.99000000000001,31.810000000000002,2010-05
Indian,India,,75.0,28.52000000000004,24.620000000000005,32.950000000000045,2010-05
Indian,India,,75.0,28.510000000000048,25.360000000000014,32.64000000000004,2010-05
Indian,India,,75.0,28.629999999999995,25.32000000000005,34.07000000000005,2010-05
Indian,Indonesia,,75.0,28.950000000000045,24.650000000000034,31.83000000000004,1998-01
Indian,Indonesia,8.0,75.0,28.980000000000018,24.850000000000023,33.150000000000034,2009-04
Indian,Indonesia,,75.0,29.04000000000002,25.27000000000004,33.170000000000016,1998-05
Indian,Indonesia,,75.0,28.170000000000016,24.33000000000004,32.27000000000004,1998-06
